review_id,product_name,rating,review_text
1,玉肌焕颜精华,5,成分表写得很清楚，烟酰胺和玻色因含量都标注了，这点比很多大牌良心多了，会回购
2,玉肌焕颜精华,2,用了两周脸有点泛红，客服回复很慢，问了三次才有人理我
3,玉肌焕颜面霜,4,质地很好吸收快，就是价格比上一代涨了快30%，有点犹豫要不要囤货
4,玉肌焕颜面霜,5,职场久坐皮肤暗沉，用了一个月提亮了不少，主要是看中它写明白了具体成分浓度
5,玉肌焕颜精华,1,过敏了，脸上起了小红疹，配料表上也没写清楚致敏成分，希望品牌方重视
6,玉肌净透洁面,3,洗完有点紧绷，包装是好看，但这个性价比不如平替
7,玉肌净透洁面,5,温和不刺激，敏感肌也能用，包装设计也很高级，朋友看到都问链接
8,玉肌焕颜精华,4,效果确实有，但是价格对学生党不太友好，希望出小样装
9,玉肌净透洁面,2,物流太慢了，等了快一周，洗面奶本身还行就是配送体验差
10,玉肌焕颜面霜,5,作为28岁的打工人，最在意的就是成分安不安全，这款标注得很细，用着放心
11,玉肌焕颜精华,4,提亮效果明显，唯一缺点是瓶口设计不太好挤，容易浪费
12,玉肌净透洁面,1,客服态度冷淡，退换货流程走了快两周，体验很差
13,玉肌焕颜面霜,3,效果一般，跟宣传的差距有点大，价格倒是不便宜
14,玉肌焕颜精华,5,会一直回购，因为它把每个成分的作用都写得明明白白，不用自己查资料
15,玉肌净透洁面,4,洗后皮肤水润不紧绷，包装也方便携带出差用
16,玉肌焕颜面霜,2,用后起闭口，可能不适合我的肤质，希望增加更详细的肤质适用说明
17,玉肌焕颜精华,5,职场女性时间宝贵，这个我直接看成分表就下单了，效果也没让我失望
18,玉肌净透洁面,3,味道有点冲，其他都还好，价格中规中矩
19,玉肌焕颜面霜,4,性价比可以，比某大牌便宜一半效果差不多，会安利同事
20,玉肌焕颜精华,1,收到货发现包装破损，客服处理倒是挺快重新补发了
21,玉肌净透洁面,5,成分干净，孕期也能用，特意查过备孕期间能不能用，客服回复很专业
22,玉肌焕颜面霜,2,价格涨了但是配方好像没什么变化，老用户感觉有点被割韭菜
23,玉肌焕颜精华,4,效果好评，就是物流偶尔不稳定，希望能优化一下
24,玉肌净透洁面,5,包装很有设计感，送朋友很有面子，成分也安全放心
25,玉肌焕颜面霜,3,中规中矩，价格偏高，会再观察一下要不要继续买
